"origin_city_name","total_flights","no_delay","dep_delay","arr_delay","cancelled","diverted","carrier_delay_count","weather_delay_count","nas_delay_count","security_delay_count","late_aircraft_delay_count","cancellation_code_a","cancellation_code_b","cancellation_code_c","cancellation_code_d"
"USA","6847899","3576019","2567189","2472530","87943","16552","787890","71999","660785","8148","711118","25336","47923","14472","212"
"Aberdeen, SD","725","560","113","115","14","0","41","18","1","2","0","0","14","0","0"
"Abilene, TX","1359","850","356","406","17","1","79","38","95","1","108","1","15","1","0"
"Adak Island, AK","104","64","30","26","8","0","4","1","10","6","8","2","6","0","0"
"Aguadilla, PR","2898","1177","1477","1425","63","6","455","62","432","4","777","34","20","9","0"
"Akron, OH","3305","2178","768","925","31","10","295","31","204","0","230","5","25","1","0"
"Albany, GA","814","618","136","164","2","2","36","14","40","0","32","0","2","0","0"
"Albany, NY","11891","6802","3682","3800","200","33","939","157","1250","12","1104","33","128","39","0"
"Albuquerque, NM","23521","12493","8973","8153","201","47","2272","142","1831","16","2650","63","119","19","0"
"Alexandria, LA","1808","1167","434","526","23","4","126","59","73","3","105","0","22","1","0"
"Allentown/Bethlehem/Easton, PA","4409","2836","1092","1261","25","16","349","74","286","8","261","6","12","7","0"
"Alpena, MI","451","311","112","110","13","2","50","26","4","0","0","0","13","0","0"
"Amarillo, TX","5280","3370","1336","1514","75","12","300","70","389","9","450","15","55","5","0"
"Anchorage, AK","17850","9689","5504","6489","202","47","1424","196","1925","14","1128","54","147","1","0"
"Appleton, WI","4916","2971","1317","1614","52","7","511","131","425","4","176","5","44","3","0"
"Arcata/Eureka, CA","1665","959","434","610","35","5","135","31","51","0","118","0","35","0","0"
"Asheville, NC","11211","6119","3976","4049","126","29","1139","172","1343","15","1314","25","58","43","0"
"Ashland, WV","402","121","252","247","4","1","90","11","86","0","106","0","4","0","0"
"Aspen, CO","6591","3082","2401","2578","507","42","722","357","245","9","567","4","460","43","0"
"Atlanta, GA","336463","178709","129319","118581","2768","760","43734","3248","28756","182","25118","1218","1268","280","2"
"Atlantic City, NJ","3033","1816","894","983","57","8","199","14","432","1","232","21","28","8","0"
"Augusta, GA","3642","2146","1121","1185","22","1","362","92","274","1","299","3","17","2","0"
"Austin, TX","92813","46875","37523","34870","1174","192","10429","690","8692","91","11865","313","770","89","2"
"Bakersfield, CA","2617","1755","614","713","24","5","265","26","147","0","155","5","19","0","0"
"Baltimore, MD","96271","35023","54113","43549","1022","217","16441","530","10642","138","14727","275","570","176","1"
"Bangor, ME","4715","2881","1124","1386","180","9","281","52","562","1","378","6","113","61","0"
"Barrow, AK","364","138","193","207","10","0","6","13","74","66","74","4","6","0","0"
"Baton Rouge, LA","4337","2700","1165","1267","51","10","293","94","262","2","311","9","35","6","1"
"Beaumont/Port Arthur, TX","727","459","142","205","38","3","68","18","10","1","27","0","38","0","0"
"Belleville, IL","984","522","380","384","8","1","84","21","161","2","165","4","2","2","0"
"Bellingham, WA","2625","1460","857","947","10","5","265","17","157","2","245","3","7","0","0"
"Bemidji, MN","711","538","111","136","16","0","43","33","4","0","0","0","16","0","0"
"Bend/Redmond, OR","5943","3778","1336","1846","39","11","451","98","234","3","229","7","30","2","0"
"Bethel, AK","722","176","460","491","20","0","41","13","137","167","89","1","19","0","0"
"Billings, MT","3481","2296","680","1024","44","5","254","71","316","2","198","14","27","3","0"
"Binghamton, NY","657","403","115","216","25","1","33","14","90","0","34","2","10","13","0"
"Birmingham, AL","15928","9343","5079","4947","172","50","1289","232","1066","8","1557","44","94","34","0"
"Bishop, CA","257","150","85","69","14","2","15","4","7","0","24","3","9","2","0"
"Bismarck/Mandan, ND","3497","2141","983","1014","54","5","335","79","164","11","116","4","48","2","0"
"Bloomington/Normal, IL","1782","1109","472","535","14","3","156","50","113","3","91","3","10","1","0"
"Boise, ID","21134","13057","5444","6584","126","34","1527","157","1226","7","1445","46","67","13","0"
"Boston, MA","140517","72447","52485","50054","2534","428","19308","1216","16919","121","13842","833","1018","681","2"
"Bozeman, MT","9542","5274","3117","3402","87","35","834","102","1096","3","1056","45","39","2","1"
"Brainerd, MN","622","474","96","123","11","1","37","28","4","0","0","0","11","0","0"
"Bristol/Johnson City/Kingsport, TN","2755","1959","560","617","22","2","171","46","167","3","160","1","19","2","0"
"Brownsville, TX","1345","945","290","293","33","8","55","26","48","7","96","13","15","5","0"
"Brunswick, GA","728","549","119","166","3","0","43","8","45","0","48","1","2","0","0"
"Buffalo, NY","20846","11381","7257","6969","445","48","2028","134","2214","10","2340","103","212","130","0"
"Burbank, CA","29757","16467","10481","9906","515","81","2053","154","2267","10","3352","181","265","69","0"
"Burlington, VT","7812","4797","1891","2365","209","19","525","139","850","2","610","33","131","45","0"
"Butte, MT","674","605","42","50","8","0","18","8","2","0","0","0","8","0","0"
"Casper, WY","1368","771","362","459","45","3","144","27","28","0","55","0","41","4","0"
"Cedar City, UT","621","501","69","95","5","3","25","16","1","0","0","0","5","0","0"
"Cedar Rapids/Iowa City, IA","7057","4074","2075","2354","98","7","612","87","634","9","504","18","72","8","0"
"Champaign/Urbana, IL","1409","953","285","347","25","2","70","17","99","0","78","0","22","3","0"
"Charleston, SC","24619","13987","7978","7986","378","58","2077","172","2262","13","2671","114","186","76","2"
"Charleston/Dunbar, WV","3478","2031","985","1163","50","6","355","80","238","4","218","5","42","3","0"
"Charlotte Amalie, VI","4688","2378","1708","1887","29","68","467","68","756","6","703","26","2","1","0"
"Charlotte, NC","195100","99382","73779","77009","1781","449","25363","3126","21815","682","23948","357","1192","192","40"
"Charlottesville, VA","2900","1889","621","748","74","4","127","28","290","1","178","7","22","45","0"
"Chattanooga, TN","5825","3661","1621","1706","45","9","416","114","390","7","494","11","27","7","0"
"Cheyenne, WY","368","268","72","74","13","1","26","13","13","1","13","0","7","6","0"
"Chicago, IL","343963","164974","140624","135230","4355","842","44597","4347","36269","202","37411","995","2856","497","7"
"Christiansted, VI","1106","603","364","416","6","7","118","7","187","5","170","4","2","0","0"
"Cincinnati, OH","39702","23135","11994","12727","548","84","3243","465","3860","31","3222","156","241","151","0"
"Clarksburg/Fairmont, WV","211","99","95","97","1","0","33","5","43","2","42","0","0","1","0"
"Cleveland, OH","41660","24564","12729","12873","680","74","3850","232","3920","34","3819","194","316","168","2"
"Cody, WY","35","20","12","11","2","0","3","1","1","0","1","0","2","0","0"
"College Station/Bryan, TX","1085","718","232","303","25","2","76","27","61","2","62","0","25","0","0"
"Colorado Springs, CO","11582","6320","3808","4085","161","28","1061","155","839","2","999","15","137","9","0"
"Columbia, MO","1419","812","436","451","11","5","129","44","106","2","73","0","10","1","0"
"Columbia, SC","6114","3974","1417","1673","91","13","434","79","368","3","430","17","48","26","0"
"Columbus, GA","957","650","237","228","6","0","63","10","32","0","45","0","5","1","0"
"Columbus, MS","803","639","135","114","4","0","18","7","30","0","42","1","2","1","0"
"Columbus, OH","42362","25682","11982","12706","575","95","3063","282","3766","17","3380","160","264","149","2"
"Concord, NC","764","309","394","383","13","1","115","10","154","0","217","3","7","3","0"
"Cordova, AK","724","434","224","233","18","15","31","2","69","3","76","4","14","0","0"
"Corpus Christi, TX","3727","2717","737","769","42","6","107","57","156","1","211","8","29","5","0"
"Dallas, TX","74757","31364","38412","29400","1124","168","9260","596","6371","58","10409","148","895","80","1"
"Dallas/Fort Worth, TX","285244","143817","110042","113127","4414","809","41284","6183","31694","344","35680","514","3699","173","28"
"Dayton, OH","7061","4804","1450","1867","65","18","479","53","481","3","458","4","42","19","0"
"Daytona Beach, FL","2825","1791","807","790","31","9","195","48","162","0","273","13","18","0","0"
"Deadhorse, AK","415","330","52","70","10","1","2","0","24","0","30","0","10","0","0"
"Decatur, IL","986","678","226","257","19","3","62","7","11","0","101","1","16","2","0"
"Del Rio, TX","184","132","38","43","6","0","6","6","0","0","14","0","6","0","0"
"Denver, CO","288985","118400","145841","124978","4026","759","48350","3128","29322","193","39533","1159","2522","344","1"
"Des Moines, IA","14614","8475","4470","4891","146","29","1387","113","1428","30","1255","44","82","20","0"
"Detroit, MI","126072","75592","38828","36867","1476","248","12886","1223","9449","62","7043","466","782","226","2"
"Devils Lake, ND","674","448","134","162","41","4","36","11","28","0","33","0","27","14","0"
"Dickinson, ND","636","454","100","143","26","4","46","8","14","0","24","0","24","2","0"
"Dillingham, AK","145","85","45","54","4","0","19","1","18","1","12","0","4","0","0"
"Dodge City, KS","622","410","134","171","24","3","46","8","15","0","36","0","19","5","0"
"Dothan, AL","729","575","116","114","2","1","12","6","28","0","52","0","1","1","0"
"Duluth, MN","1892","1252","426","513","32","2","154","43","43","0","61","2","28","2","0"
"Durango, CO","3429","2099","841","1097","60","8","333","80","162","4","166","7","45","8","0"
"Eagle, CO","2994","1512","1060","1208","61","35","377","61","259","3","320","7","51","3","0"
"El Paso, TX","17023","9857","5738","5313","148","46","1269","107","1087","5","1850","24","114","10","0"
"Elko, NV","366","295","47","58","1","0","15","12","2","0","0","0","1","0","0"
"Elmira/Corning, NY","992","696","239","222","4","3","79","29","38","3","31","0","4","0","0"
"Erie, PA","222","130","37","86","1","1","29","0","2","0","10","0","1","0","0"
"Escanaba, MI","695","521","125","139","12","4","69","24","5","2","0","0","12","0","0"
"Eugene, OR","7443","4189","2414","2591","36","12","703","55","560","5","615","21","14","1","0"
"Evansville, IN","1903","1304","402","501","10","7","109","47","163","0","125","2","7","1","0"
"Everett, WA","746","398","231","284","5","3","50","5","87","0","47","3","2","0","0"
"Fairbanks, AK","3049","1722","820","1088","18","0","199","8","346","3","205","11","7","0","0"
"Fargo, ND","6278","3927","1671","1755","125","7","511","176","393","1","320","13","109","3","0"
"Fayetteville, AR","11634","7023","3118","3863","103","29","922","284","972","5","980","11","71","21","0"
"Fayetteville, NC","1345","831","397","363","17","4","104","17","76","2","68","5","10","2","0"
"Flagstaff, AZ","1654","1226","258","329","51","4","107","26","30","0","43","1","50","0","0"
"Flint, MI","2071","1149","530","842","16","2","224","28","292","1","139","0","15","1","0"
"Fort Dodge, IA","622","441","135","140","15","3","34","9","8","0","41","2","11","2","0"
"Fort Lauderdale, FL","89835","35289","46573","41638","1647","255","16842","2394","15907","1231","14189","506","852","287","2"
"Fort Myers, FL","33070","19351","10713","10598","462","84","2939","288","3071","6","4171","212","186","63","1"
"Fort Smith, AR","1074","637","233","382","22","2","89","29","92","0","67","1","20","1","0"
"Fort Wayne, IN","4261","2430","1425","1397","30","6","512","70","263","4","242","4","24","2","0"
"Fresno, CA","11164","6773","3286","3463","66","20","922","68","672","15","888","25","36","5","0"
"Gainesville, FL","2831","1848","759","788","22","3","214","62","187","1","248","4","18","0","0"
"Garden City, KS","725","469","147","204","24","1","71","20","29","0","19","0","24","0","0"
"Gillette, WY","640","452","127","146","13","3","39","11","20","1","24","0","12","1","0"
"Grand Forks, ND","1286","914","272","269","28","2","75","42","48","0","41","1","24","3","0"
"Grand Island, NE","937","511","313","343","19","3","139","29","59","5","62","1","18","0","0"
"Grand Junction, CO","3155","1920","800","1045","45","7","254","55","245","2","199","9","33","3","0"
"Grand Rapids, MI","16558","10224","4419","4908","227","34","1167","190","1484","5","1248","50","137","39","1"
"Great Falls, MT","2582","1733","522","703","15","12","169","50","114","0","108","4","11","0","0"
"Green Bay, WI","3918","2813","687","928","41","3","278","54","187","0","125","8","32","1","0"
"Greensboro/High Point, NC","10924","7346","2360","2754","180","13","618","125","848","1","680","26","93","61","0"
"Greenville, NC","114","69","33","35","1","0","8","2","8","0","11","0","1","0","0"
"Greer, SC","13457","8686","3269","3606","160","28","800","89","885","14","862","21","90","49","0"
"Guam, TT","757","500","195","154","17","0","48","1","22","0","4","1","14","2","0"
"Gulfport/Biloxi, MS","2909","1985","604","735","27","8","144","47","192","1","170","7","17","3","0"
"Gunnison, CO","725","425","158","243","31","1","70","9","27","0","47","1","30","0","0"
"Gustavus, AK","75","53","17","18","0","0","6","0","6","0","4","0","0","0","0"
"Hagerstown, MD","215","89","121","97","2","0","28","3","31","3","45","1","1","0","0"
"Hancock/Houghton, MI","705","406","190","238","43","0","81","23","7","0","45","0","41","2","0"
"Harlingen/San Benito, TX","3780","2497","985","911","45","8","192","20","182","1","288","6","25","14","0"
"Harrisburg, PA","5568","3465","1518","1621","73","14","419","49","466","5","451","9","48","15","1"
"Hartford, CT","21658","11340","7725","7770","269","49","2321","171","2726","11","2373","92","154","23","0"
"Hattiesburg/Laurel, MS","623","466","113","133","5","1","34","11","6","0","34","0","4","1","0"
"Hayden, CO","2354","1138","813","969","62","3","306","59","277","0","304","7","52","3","0"
"Hays, KS","727","468","173","237","9","1","54","9","21","0","66","0","8","1","0"
"Helena, MT","1462","1052","204","351","11","5","90","17","25","0","26","0","9","2","0"
"Hibbing, MN","703","582","92","94","9","0","38","20","7","0","0","0","9","0","0"
"Hilo, HI","7225","3885","2211","3060","70","3","667","52","330","37","885","66","4","0","0"
"Hilton Head, SC","1802","1038","530","607","36","16","113","29","169","5","216","4","18","14","0"
"Honolulu, HI","61768","27790","27642","26856","620","67","8481","326","2434","113","6255","580","36","4","0"
"Houston, TX","167092","79833","72801","63970","1620","407","21787","1479","15875","115","18065","615","821","184","0"
"Huntsville, AL","7886","4745","2193","2492","76","19","707","92","444","4","542","16","50","10","0"
"Hyannis, MA","208","105","80","69","16","0","22","2","26","0","36","3","3","10","0"
"Idaho Falls, ID","3220","2076","754","981","33","16","300","83","161","2","201","2","28","3","0"
"Indianapolis, IN","44962","26222","13440","14198","606","98","3352","366","4245","24","3703","122","298","186","0"
"International Falls, MN","622","499","101","94","6","0","37","22","5","0","0","0","6","0","0"
"Iron Mountain/Kingsfd, MI","726","527","143","166","15","0","70","35","6","1","0","0","15","0","0"
"Islip, NY","4698","2304","1987","1703","75","15","495","41","559","2","672","38","35","2","0"
"Ithaca/Cortland, NY","735","433","120","258","25","1","30","10","79","0","39","1","11","13","0"
"Jackson, WY","5212","2635","1894","2026","67","42","578","135","635","0","497","27","38","2","0"
"Jackson/Vicksburg, MS","7248","4974","1792","1679","51","10","396","87","343","3","488","15","32","3","1"
"Jacksonville, FL","28463","15561","10145","9913","405","75","2869","416","2604","14","3643","132","197","75","1"
"Jacksonville/Camp Lejeune, NC","1158","788","279","255","15","1","78","15","60","1","60","3","11","1","0"
"Jamestown, ND","674","492","112","134","22","10","35","7","10","0","25","0","19","3","0"
"Johnstown, PA","726","503","141","185","12","1","70","8","7","0","30","1","10","1","0"
"Joplin, MO","622","453","138","122","7","4","55","10","10","0","13","0","6","1","0"
"Juneau, AK","4707","3108","1032","1334","96","20","219","31","357","3","310","30","66","0","0"
"Kahului, HI","30045","14604","12227","12552","340","46","4115","203","1813","19","4113","308","13","18","1"
"Kalamazoo, MI","864","663","136","169","6","0","58","7","43","0","29","1","5","0","0"
"Kalispell, MT","3509","2099","971","1160","22","5","287","42","301","2","258","13","8","1","0"
"Kansas City, MO","48452","24959","18606","17376","522","115","4368","409","4517","68","5456","162","273","86","1"
"Ketchikan, AK","2489","1567","682","778","42","9","102","19","171","15","223","15","27","0","0"
"Key West, FL","6897","3718","2519","2491","70","87","785","110","684","14","946","10","40","18","2"
"Killeen, TX","1582","1002","417","468","28","1","135","32","95","5","147","0","26","2","0"
"King Salmon, AK","215","140","58","68","2","0","3","0","25","22","17","2","0","0","0"
"Knoxville, TN","13953","9083","3395","3947","132","47","1035","165","1031","4","1131","18","75","39","0"
